序号,功能模块,分类及场景,功能价值介绍
26,,报表订阅,对于定期关注特定报表数据的领导，可通过订阅报表的方式查看报表，如销售主管订阅“客户拜访次数统计”报表，并设置每月1号上午8点推送到企信/邮箱，这样销售主管每月月初就能准时收到上个月客户的拜访情况，及时发现问题并尽早解决。
27,,报表支持修改对象关系,报表管理员和CRM管理员可以在报表编辑态修改对象关系，如：报表的对象关系是“客户-销售订单”可以在编辑态把“销售订单”对象换成“商机2.0”对象
28,,报表支持切换时区,报表支持切换时区，根据报表的时区统计回显数据。同时报表支持切换为“业务发生时区”，按照业务实际发生时区统计回显数据。
29,,掩码展示,对象上设置掩码的字段，在使用报表分析的时，对应字段会掩码展示。在查看明细或者导出时也会保持掩码展示。确保敏感字段的数据安全性。
30,统计图,场景及价值,统计图是数据的图形化展现，帮助客户直观查看数据统计结果，一目了然地掌握不断变化的业务状况，通过可视化的数据分析工具，协助企业实时掌握经营状态，打造以数据为中心的实时决策企业。
31,,统计图类型,统计图目前已支持：柱形图、折线图、堆叠柱形图、堆叠折线图、双轴图、饼图、漏斗图、转化率漏斗图、自定义KPI卡片、仪表盘、地图（热力）、地图（气泡）、国际地图（气泡）、国际地图（热力）、热力图、气泡图、统计表、统计图交叉表、雷达图、矩形树图，不同的图表类型可以在外观布局里进一步自定义统计图的样式，满足不同的分析场景
32,,双维度统计图,新建统计图，支持配置两个维度，双维度统计图支持堆叠柱形图、堆叠条形图、统计表、交叉表、热力图等多种图表类型
33,,从对象主题的分析,新建主题，支持选择“从对象”，满足了以“从对象”上的维度统计数据的场景
34,,预设模板,将常用的分析场景预置为了模板，企业可基于模板进一步按需调整，快速新建统计图，比如企业需要按来源统计线索的转化情况，可直接基于“线索转化统计(按来源)”模板新建统计图
35,,自选主题,统计图的分析是基于主题的，每一个主题对应一个主对象，在这个主题下可以统计主对象关联对象的数据(比如客户主题对应的主对象就是客户，客户主题下可以分析商机、订单等)，自选主题这里不仅有预设对象的主题，也有自定义对象的主题（需要管理员新建）
36,,统计指标管理,支持按需变更预设的指标规则，按需自定义新的指标规则，新建自定义对象的主题，查询未使用指标，全面的主题和指标管理
,,自定义维度,支持基于主题对象新增自定义维度进行分析，包括枚举类型和引用类型
37,,查询未使用指标,“统计指标管理”页面新增“查询未使用指标”按钮，用户可以查询当前租户下未使用的指标并进行停用/删除操作
38,,下钻,支持按固定路径或者自由路径下载，下钻时支持全维度字段的下钻，支持部门、日期等层级字段，按层级逐层下钻，通过维度下钻更好地洞察数据规律
39,,查看明细,支持查看统计值对应的明细数据
40,,同环比,支持与去年/上月/上周的同比增长值/增长率、环比增长值/增长率、去年/上周同期值
41,,占比,除KPI和仪表盘外其他图表类型可设置指标占比
42,,累计,当维度中有日期类型的字段（仅含有一个日期字段）时，支持设置累计
43,,排名,支持针对统计指标按照结果集进行排名统计
44,,指标计算,指标之间的进一步计算，通常用于平均值、比率等统计场景，支持数字、百分比、时长(xx天xx小时xx分xx秒)返回值类型，比如客单价/商机平均结单周期、线索转化率/商机赢单率，且对于小计/总计的计算可以按照指定的方式进行计算，包括按计算公式计算和按小计求和计算
45,,指标格式化,支持针对统计指标的显示值进行格式化处理，包括数值、百分比、时长
46,,日期/日期时间格式化,支持按照日期/日期时间维度设置自定义展示格式，如2025/01/01、2025-01-01
47,,平均值/标识线,支持在统计图上展示指标的平均值/平均线；标识线支持设置常量或者按指标的平均值/最大值/最小值设置
48,,总计,支持总计的统计，且支持设置是否显示总计，在显示总计的基础上还可进一步设置哪些指标的总计外露及卡片态是否显示总计
49,,日期（万能日期维度）,每个主题下都有一个“日期”维度字段，此日期的业务含义对于各个指标是不同的（对应指标规则里的日期字段），通常用于需要以日期为维度，统计多个指标的场景，比如以日期-月为维度，统计每个月预计成交的商机金额、下单的订单金额、回款的回款金额，日期对于这三个指标的含义分别为预计成交日期、下单日期、回款日期
50,,准实时/实时查,统计图的指标值的更新已经做到了准实时，最长延迟15分钟，可通过统计图上的最后更新时间查看指标最后更新的时间；以及可通过刷新按钮，让图表走实时查询
51,,筛选,除了支持跟业务一致的场景(预设)的筛选，还支持日期、枚举、文本、员工/部门等各种字段类型的筛选，满足丰富的筛选场景
52,,主属性显示字段,支持设置了显示字段的主属性被查找关联时按显示字段显示
53,,排序,支持配置按维度本身排序；维度按指标多层依赖排序；排序后TopN过滤
54,,共享,转发：可通过企信转发统计图，灵活的协同操作，且其他用户看到的是自己权限范围内的数据
55,,,分享：可通过分享的方式，将统计图以一张图片的格式加入到跟进记录里，可见此跟进记录的用户即可见此图片，图片上的数据为分享的那一时间节点，分享人可见的数据
56,,统计图导出,支持导出图片和Excel文件，指标查看明细后支持导出明细数据
57,,统计图订阅,对于定期关注特定统计图数据的领导，可通过订阅统计图的方式查看统计图，如销售主管订阅“客户拜访次数统计”统计图，并设置每月1号上午8点推送到企信/邮箱，这样销售主管每月月初就能准时收到上个月客户的拜访情况，及时发现问题并尽早解决。
58,,统计图支持自定义配色,支持用户修改图表颜色并开启无障碍花纹设置。
59,,统计图支持多时区,统计图支持切换时区，按照自定义的时区统计数据。支持选择按“业务发生时区“为聚合时区的指标，可以按照不同的时区统计数据。
60,,掩码展示,对象上设置了掩码的字段，在统计图中做维度时会掩码展示。统计图查看明细或者导出时对应的掩码字段也会掩码展示。
,,移动端独立布局,支持web端和移动端样式布局配置不一样，可开启移动端独立布局，单独设置移动端展示样式
61,,统计图数据解读,统计图支持开启"数据解读"，在统计图详情页、统计图卡片页可以对当前图表进行数据总结、数据解读及决策建议的输出。
62,拼表,场景及价值,帮助企业对于已创建的报表和统计图需要进行二次加工，企业可以根据自身需求配置拼表来实现不同的数据分析场景
63,,关联类型,可按需设置多种关联类型，如 左关联、内关联、外关联、纵向拼接
64,,特殊过滤条件,支持对于特殊场景的过滤条件设置，如 字段对比、最近一次、最早一次等
65,,计算指标,指标之间的进一步计算，通常用于平均值、比率等统计场景，支持数字、百分比、时长(xx天xx小时xx分xx秒)返回值类型，比如客单价/商机平均结单周期、线索转化率/商机赢单率
66,,总计、小计,支持设置是否显示小计、总计
67,,紧凑模式、调整列宽,支持设置紧凑模式、调整列宽，灵活调整拼表查看效果
68,,查看明细,支持对于最终的拼接结果查看明细，追踪异常数据
69,,交叉表拼接,支持交叉表作为源表进行拼接，拼接后结果以交叉表样式展示
70,,预警显示,支持设置预警显示，符合条件的数据可设置字体以及单元格样式，及时发现问题数据
71,,自定义表头布局,自由调整表头顺序、重命名、隐藏/添加列，创建复合表头，贴合业务需求。
72,数据驾驶舱,场景及价值,数据驾驶舱是一个为企业管理层提供“一站式”决策支持的数据中心，它基于BI报表、统计图和拼表的能力，汇总企业运行的关键指标，直观的监测企业运营情况。
73,,系统预设驾驶舱,具备按行业、按业务预设驾驶舱的能力，提供更好的开箱即用体验，此类驾驶舱企业全部员工均可见，管理员可按需编辑，包括销售管理驾驶舱（全企业可见）、商机预设驾驶舱（有商机2.0对象的企业可见）、快消行业驾驶舱（快消行业企业可见）等几十种
74,,自定义驾驶舱,员工可新建、编辑、删除、订阅、转发、共享、隐藏驾驶舱，可自定义显示模块，全局筛选配置、灵活的模块大小和布局配置、丰富的样式库等
75,,个人类型,此类驾驶舱走查看者个人的数据权限，如果A共享“个人类型”驾驶舱给B，B查看时走B个人的数据权限，管理员在保存个人类型驾驶舱时，可设置查看者以可见人自己数据权限查看驾驶舱还是以管理员数据权限查看驾驶舱
76,,企业类型,仅管理员可新建企业类型的驾驶舱，此类驾驶舱走授权人的数据权限，如果管理员A授权企业类型驾驶舱给B，B查看时走管理员的数据权限，此类场景多用于需要全公司/指定部门均可查看相同数据的场景，而不需要区分权限，比如全公司员工的销量排行榜
77,,预设图表复制,系统预设的数据驾驶舱里的图表、业务流程预设的报表、列表页洞察预设的图表，支持「复制」操作，按需调整后，快速生成新图表
78,,全屏,分为网页全屏和演示模式，可通过全屏操作，将驾驶舱投放在指定大屏上，将按照设定好的刷新时间定时刷新驾驶舱
79,,图表联动,可通过图表之间联动灵活分析驾驶舱内各个图表之间的数据
,,驾驶舱跳转,富文本组件、图表组件可设置跳转，查看态点击后可跳转到跳转设置的驾驶舱
80,,轮播,驾驶舱全屏时支持新的查看方式，左右轮播/上下轮播。开启轮播后驾驶舱可按照用户设置的布局和速度播放驾驶舱
81,,全局筛选,提供⼈员和⽇期两个默认筛选条件，可设置适⽤图表范围、锁定状态，⽀持⽬标规则筛选器配置，满足不同数据范围分析需求
82,,自定义筛选,自定义筛选部分图表的数据范围，覆盖用户更多的业务场景
83,,图表组件,支持添加预设或自定义图表，提供图表样式配置（标题、样式、背景、配色等），⽀持图表联动设置
84,,富文本组件,可添加富⽂本组件，用于详细解释数据、提供操作指导、展示个性化内容、促进跨部⻔沟通以及整合分析报告，提升驾驶舱信息丰富度。
85,,页签容器,页签容器支持添加、删除⻚签及调整顺序，可设置页签容器属性（选项卡、形态）及样式，助力数据分类与多维度分析
86,,轮播图,支持添加轮播图，可设置轮播图的切换样式
87,,管理个人数据驾驶舱,可调整个人驾驶舱列表的展示顺序，将隐藏的数据驾驶舱设为显示，并且拖动数据驾驶舱的名称调整展示顺序
88,,管理员工驾驶舱,将部分数据驾驶舱共享/授权给同事、部门、部门负责人、用户组、角色，可进一步设置展示驾驶舱是否走并集及是否仅展示分组内数据驾驶舱
89,,刷新,刷新当前驾驶舱的数据
90,订阅与协作,场景及价值,领导定期关注特定图表的数据，及时洞察数据情况
91,,邮箱订阅,订阅的文件会以邮件的方式推送到员工绑定个人邮箱/员工个人信息里填写的邮箱地址
92,,企信订阅,订阅的文件会以链接的方式推送到员工的企信
93,,CRM订阅,订阅的文件会以链接的方式推送到员工CRM提醒的报表消息中
94,,周期性数据推送,支持按照天/周/双周/月/季度/自定义/工作日订阅，可设置推送的时间点
95,,订阅文件管理,支持批量删除历史推送的文件信息，以回收订阅空间，并支持导出订阅文件
96,,订阅支持多时区,订阅文件可以按照自定义时区设置推送时间
97,,订阅空间提醒,创建订阅任务时，可以查看到订阅空间大小，防止因为订阅空间不足造成的订阅失败
98,,订阅文件,订阅文件支持数据范围同步
99,,启用订阅任务,针对已停用的订阅，支持重新启用
100,,停用订阅任务,针对已启用的订阅，支持停用
101,,删除订阅任务,针对已停用的订阅，支持删除订阅任务
102,,导出图片,统计图类型的图表支持导出图片，且支持选择推送到企信或者CRM提醒
103,,导出数据,所有图表都支持导出数据，导出时支持选择格式化报表或者无格式化报表，同时支持选择推送到企信或者CRM提醒
104,,导出时包含筛选条件,导出时支持勾选是否包含图表的筛选条件
105,,转发,图表和驾驶舱支持转发，转发成功后，收到图表文件的用户只需在对话框中点击接收到的卡片即可查看图表详情
106,,分享,图表分享功能需要自定义输入分享信息的描述，同时还支持添加多种富文本信息，之后通过指定人员或部门将图表发布到工作圈，收到该分享的用户可以在工作圈中查看图表的详情，同时，收到分享的用户也可以在工作圈快速予以回复
107,BI权限体系,场景及价值,独立的功能权限控制，与业务一致的数据权限控制，让数据查看安全可靠
108,,图表的数据权限,分为公开（全部员工可见）、私有（指定部分员工）两种，可在保存图表的时候设置，也可以在“报表权限管理”页面进一步管理
109,,图表的功能权限,图表的功能权限是按角色按主题域管理的，角色功能权限里配置不同主题域的权限，限定此角色是否可见此主题域和可进行的操作
110,,业务对象的数据权限,图表不会扩大用户在CRM模块内对业务数据的可见范围，即数据权限跟业务设置一致
111,,业务对象的对象/字段权限,当用户的角色拥有某个对象的权限时，在图表可见此对象，拥有某字段的读写或只读权限时，在图表中可见此字段，否则不可见，同角色设置一致
112,,数据驾驶舱权限精细化管理,后台添加数据驾驶舱的业务功能权限，同时数据驾驶舱保存时添加驾驶舱级权限。整体控制了数据驾驶舱的新建、编辑、删除权限
113,报表管理与操作日志,场景和价值,报表列表页统一管理图标资源，记录所有关键操作记录，让数据的变动有迹可循
114,,多级文件夹,报表列表页支持多级文件夹，助理用户资源管理
115,,分屏视图,报表列表页支持分屏视图查看图表驾驶舱，通过左侧菜单切换查看更加方便
116,,驾驶舱列表 ,报表列表页添加驾驶舱资源，整体视角管理所有数据驾驶舱
117,,报表权限管理,报表权限管理页面支持用户对图表和驾驶舱的业务功能进行调整，包括查看、编辑、删掉、导出、转发、分享、订阅权限
118,,订阅管理,订阅管理页面支持用户对订阅任务进行管理及查看
119,,报表日志,"操作日志：系统记录了所有用户对报表、统计图、拼表、主题、指标、数据驾驶舱、订阅等BI相关内容的操作
查看日志：系统记录了所有用户对报表、统计图、拼表、数据驾驶舱的查看"
120,BI组件,场景及价值,基于UIPaaS能力，将图表嵌入到任意业务页面，将业务与分析深度融合。
121,,图表组件,支持将预设图表、自定义图表以组件的形式嵌入到首页、自定义页面、对象列表页、对象详情页、下游渠道门户页面等任意页面；同时部分页面支持传参设置。
122,,筛选器组件,支持配置筛选器组件，与图表组件结合使用
123,,丰富的预设组件,针对不同行业、不同业务场景预设了100+丰富的图表组件，可直接使用或作为模版进一步个性化配置后使用
124,,销售阶段转化分析,统计了商机在各阶段间的流转情况，包括各阶段的平均停留时长、流失率、总转化率等，以了解各个阶段的效率
125,,销售简报,统计了新增客户数、联系人数、商机数、阶段变化的商机数、客户拜访次数、客户跟进次数等基本情况
126,,线索转化,统计了线索总数、线索转客户情况、线索转商机情况、线索转商机后进一步转订单的情况
127,,排行榜,针对全部员工金额类、计数类核心指标的排行情况，可切换排行周期
128,,目标完成情况,从整体、时间维度、部门/人员维度等多种角度统计目标完成率及同环比增长率的情况，随时洞察企业目标达成。
129,,分屏视图组件,支持配置图表，配置后图表的查看形式为分屏模式
130,,驾驶舱组件,支持配置驾驶舱，配置后可通过页签切换查看不同的驾驶舱
131,,自定义菜单配置驾驶舱,支持通过自定义菜单配置驾驶舱，可配置多个驾驶舱到自定义菜单中
132,互联上下游分析,首页图表,互联应用首页支持配置图表供下游分析，下游查看时支持下钻、导出等功能
133,,渠道门户自定义菜单配置驾驶舱,支持渠道门户自定义菜单配置驾驶舱，可配置多个驾驶舱供下游查看
134,,下游自建BI资源,支持下游在互联应用中自己创建BI类资源
135,,聚合数据同步,支持将下游租户的聚合数据同步到上游租户内进行分析
136,客开及函数,场景及价值,在纷享CRM中除了通用的产品能力外，还支持了客户特殊场景的开发。主要包括：定制报表模板、BI接入函数、APL-客开计算逻辑、PWC-客开展示界面等
137,,定制报表模板,产品预置了很多高价值的报表模板，当客户有特殊需求，现有的报表模板不能满足用户的需求时，客户可以申请定制个性化的报表模板。
138,,BI接入函数,在使用BI报表、报表交叉表、统计图、拼表分析时，如果想要对结果数据做进一步的分析，可以通过接函数获取结果数据。
139,,APL-客开计算逻辑,为了方便客户使用，产品本身提供了大量通用计算逻辑，其中包括：字符串类型的字段统计方式：计数、唯一计数，数值类型的字段统计方式：计数、唯一计数、求和、平均数、最大值、最小值，日期类型的字段统计方式：计数、唯一计数、最早、最晚等。如果客户有特殊的计算逻辑，通过APL低代码客开特殊计算逻辑，计算结果仍用BI图表展示。
140,,PWC-客开展示界面,为了方便客户使用，产品本身提供了多种图表样式，如果客户需要特殊的展现界面，统计数据通过BI函数获取，展示界面通过PWC自定义客开。
141,BI开箱预置及行业图表库,场景及价值,预设图表覆盖用户核心场景，用户可以拿来即用。
142,,预置图表,开箱预置带有行业属性的图表，支持用户在配置驾驶舱、首页、自定义页面等内容时支持使用
143,,预置驾驶舱,具备按行业、按业务预设驾驶舱的能力，提供更好的开箱即用体验，此类驾驶舱企业全部员工均可见，管理员可按需编辑，包括销售管理驾驶舱（全企业可见）、商机预设驾驶舱（有商机2.0对象的企业可见）、快消行业驾驶舱（快消行业企业可见）等几十种
144,,预置模板,按主题域的粒度预设多个模板，可基于预置模板的基础上修改图表内容保存为自定义图表
145,,管理配置包,灰度配置包管理的企业可以上传有行业特色的图表和驾驶舱
146,,配置包安装,对于已经上传的配置包支持一键部署到目标企业
147,BI沙箱体系,场景及价值,在沙盒验证的图表驾驶舱等资源可以通过更改集部署到正式企业，验证阶段做到与正式企业物理隔离，保证正式企业的安全性和稳定性。通过更改集一键部署，提高工作效率。
148,,报表,支持同步报表，对于依赖的对象及字段会做依赖验证
149,,统计图,支持同步统计图，自动同步依赖的指标
150,,拼表,同步拼表时，自动同步原表，用户无需勾选原表
151,,主题,支持主题的同步
152,,指标,支持同步指标，自动同步指标所在主题
153,,驾驶舱,同步驾驶舱时，自动同步图表，用户无需勾选图表
154,,包内校验,配置包内的资源支持包内校验
155,BI国际化,场景及价值,助力海外用户的数据分析
156,,多时区-报表,报表支持切换时区查看数据，用户可以根据自己所在的时区切换时区，查看对应时区的数据
157,,多时区-指标,新建指标时，可以指定指标的聚合时区，指标计算时会按照指定的时区计算数据
158,,多时区-统计图,统计图可以指定时区，按照指定的时区回显计算数据
159,,多时区-无时区统计图,字段设置不走多时区的属性后，在图表中计算时会按照业务真是发生的时区统计回显数据
160,,多货币,"当企业开启多货币后：同步在各预置对象上新增字段，自定义对象需要用户自己添加自定义字段；BI的预设资源（包括：预设驾驶舱/ 模板/ 首页/ 指标）），默认都是基于「原币」的分析，会增加一套基于「本位币」的预设资源
新增图表级和驾驶舱级的币种配置，以及支持在全局配置中，增加了按照最新汇率版本和历史汇率版本进行数据转换的配置"
,,多区域,针对BI模块，涉及到日期、日期时间、时间类型的显示，以及数值和金额字段的分位符的显示，均做了国际化的适配
161,,多语,BI相关预置资源已预置翻译；自定义相关内容（文件夹名称、图表名称、驾驶舱名称、主题/指标、目标等相关内容）已接入翻译工作台，用户可根据自身企业需求设置自定义翻译、预设对象和自定义对象的主属性、单行文本、多行文本字段的数据多语
162,,国际地图,BI支持国际地图（气泡）和国际地图（热力）两个国际地图类型，针对有海外需求的用户来说，可以通过地图类型的图表以全球的视角分析数据情况
163,系统数据运营分析,场景及价值,全面采集、智能分析和全链路管理企业数据，在优化业务运营、预测市场需求、提升产品性能、精准营销和客户价值评估等多个方面有重要作用
164,,员⼯对象⾏为分析,全⾯采集和智能分析系统内所有预置对象和⾃定义对象下的操作和查看⾏为，⽀持流程相关数据⾃动统计，同时还支持菜单查看的统计分析，对优化业务流程、提升运营效率有很大帮助
165,,员⼯登录⾏为分析,统计所有登录⽅式（含扫码登录、动态验证码登录、通过钉钉/⻜书登录等）的员⼯登录数据及在线未退出的员⼯在线数据，⽆需额外配置，⽅便快捷
166,,员⼯BI⾏为分析,统计分析报表、报表交叉表、统计图、拼表、数据驾驶舱等资源的查看、新建、导出数据，⼿动配置分析的BI资源类型，⽀持精准营销和客户价值评估
167,分析Agent,场景及价值,利用AI能力，自动挖掘复杂数据中的价值，精准预测和智能决策建议，提升决策效率与质量。
168,,首屏推荐问题,开箱预设一套首屏推荐问题，支持租户级自定义配置首屏推荐问题。
169,,图表召回,通过自然语言解析用户的数据分析问题，为用户返回相关分析图表
170,,数据解读,对召回图表的数据进行解读，包括不限于数据总结和解读以及决策建议
171,,追问问题推荐,通过返回图表的数据和场景智能推荐相关追问问题，帮助用户更全面、精准地理解数据
